Date,Week,Tm,Opp,Result,Tgt,Rec,Yds_rec,Y/R,TD_rec,Ctch_p,Y/Tgt,Rush,Yds_rush,Y/A,TD_rush,TD_all,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,Num,Pct
2021-09-12,1,CIN,MIN,W 27-24,7,5,101,20.20,1,71.4,14.43,1,-2,-2.00,0,1,0.0,0,0,0,0,0,0,62,90
2021-09-19,2,CIN,CHI,L 17-20,4,2,54,27.00,1,50.0,13.50,0,0,,0,1,0.0,0,0,0,0,0,0,51,93
2021-09-26,3,CIN,PIT,W 24-10,5,4,65,16.25,2,80.0,13.00,0,0,,0,2,0.0,0,0,0,0,0,0,39,83
2021-09-30,4,CIN,JAX,W 24-21,9,6,77,12.83,0,66.7,8.56,0,0,,0,0,0.0,0,0,0,0,0,0,46,79
2021-10-10,5,CIN,GNB,L 22-25,10,6,159,26.50,1,60.0,15.90,0,0,,0,1,0.0,0,0,0,0,0,0,61,91
2021-10-17,6,CIN,DET,W 34-11,6,4,97,24.25,0,66.7,16.17,0,0,,0,0,0.0,1,0,1,0,0,0,57,79
2021-10-24,7,CIN,BAL,W 41-17,10,8,201,25.13,1,80.0,20.10,0,0,,0,1,0.0,0,0,0,0,0,1,53,84
2021-10-31,8,CIN,NYJ,L 31-34,9,3,32,10.67,1,33.3,3.56,1,9,9.00,0,1,0.0,0,0,0,0,0,0,52,95
2021-11-07,9,CIN,CLE,L 16-41,13,6,49,8.17,0,46.2,3.77,2,0,0.00,0,0,0.0,0,0,0,0,0,1,71,95
2021-11-21,11,CIN,LVR,W 32-13,6,3,32,10.67,1,50.0,5.33,2,8,4.00,0,1,0.0,0,0,0,0,0,0,68,92%
2021-11-28,12,CIN,PIT,W 41-10,3,3,39,13.00,0,100.0,13.00,0,0,,0,0,0.0,0,0,0,0,0,0,52,76%

