Date,Week,Tm,Opp,Result,Tgt,Rec,Yds_rec,Y/R_rec,TD_rec,Ctch_p,Y/Tgt,Rush,Yds_rush,Y/A,TD_rush,Cmp,Att,Cmp_p,Yds_pass,TD_pass,Int,Rate,Sk,Yds_sack,Y/A_pass,Fmb,FL,Num,Pct
2021-09-12,1,MIN,CIN,L 24-27,9,5,71,14.20,0,55.6,7.89,0,0,,0,1,1,100.00,11,0,0,112.5,0,0,11.00,0,0,76,92
2021-09-19,2,MIN,ARI,L 33-34,10,6,65,10.83,1,60.0,6.50,0,0,,0,0,0,,0,0,0,,0,0,,0,0,53,87
2021-09-26,3,MIN,SEA,W 30-17,11,9,118,13.11,1,81.8,10.73,0,0,,0,0,0,,0,0,0,,0,0,,0,0,62,83
2021-10-03,4,MIN,CLE,L 7-14,7,6,84,14.00,1,85.7,12.00,0,0,,0,0,0,,0,0,0,,0,0,,0,0,59,88
2021-10-10,5,MIN,DET,W 19-17,8,7,124,17.71,0,87.5,15.50,0,0,,0,0,0,,0,0,0,,0,0,,0,0,60,90
2021-10-17,6,MIN,CAR,W 34-28,14,8,80,10.00,0,57.1,5.71,0,0,,0,0,0,,0,0,0,,0,0,,1,1,84,94
2021-10-31,8,MIN,DAL,L 16-20,4,2,21,10.50,0,50.0,5.25,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0,0,47,71
2021-11-07,9,MIN,BAL,L 31-34,5,3,69,23.00,1,60.0,13.80,1,11,11.00,0,0,0,,0,0,0,,0,0,,0,0,43,80
2021-11-14,10,MIN,LAC,W 27-20,11,9,143,15.89,0,81.8,13.00,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,0,0,60,76
2021-11-21,11,MIN,GNB,W 34-31,10,8,169,21.13,2,80.0,16.90,1,3,3.00,0,0,0,,0,0,0,,0,0,,0,0,63,90
2021-11-28,12,MIN,SFO,L 26-34,9,4,83,20.75,0,44.4,9.22,0,0,,0,1,1,100.00,24,0,0,118.7,0,0,24.00,0,0,51,93
