Date,Week,Tm,Opp,Result,Rush_att,Yds_rush,Y/A_rush,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Ctch_p,Y/Tgt,Sk,Ast,Comb,TFL,QBHits,Fmb,Num,Pct
2021-09-12,1,BUF,PIT,L 16-23,11,72,6.55,0,5,3,8,2.67,0,60.0,1.60,0.0,0,0,0,0,2,64,75
2021-09-19,2,BUF,MIA,W 35-0,13,82,6.31,1,3,2,9,4.50,0,66.7,3.00,0.0,0,0,0,0,1,43,66
2021-09-26,3,BUF,WAS,W 43-21,11,26,2.36,0,2,1,0,0.00,0,50.0,0.00,0.0,0,0,0,0,0,34,43
2021-10-03,4,BUF,HOU,W 40-0,14,79,5.64,0,1,1,7,7.00,0,100.0,7.00,0.0,0,0,0,0,1,32,44
2021-10-10,5,BUF,KAN,W 38-20,6,25,4.17,0,2,1,-2,-2.00,0,50.0,-1.00,0.0,0,0,0,0,0,15,26
2021-10-18,6,BUF,TEN,L 31-34,5,27,5.40,0,5,5,16,3.20,0,100.0,3.20,0.0,0,0,0,0,0,35,45
2021-10-31,8,BUF,MIA,W 26-11,7,28,4.00,0,1,1,1,1.00,0,100.0,1.00,0.0,0,0,0,0,0,25,34
2021-11-07,9,BUF,JAX,L 6-9,6,16,2.67,0,8,7,43,6.14,0,87.5,5.38,0.0,0,1,0,0,0,48,72
2021-11-14,10,BUF,NYJ,W 45-17,7,43,6.14,1,1,1,6,6.00,0,100.0,6.00,0.0,0,0,0,0,1,22,38
2021-11-21,11,BUF,IND,L 15-41,3,17,5.67,0,4,3,26,8.67,0,75.0,6.50,0.0,0,0,0,0,0,21,38
2021-11-25,12,BUF,NOR,W 31-6,15,44,2.93,0,1,1,4,4.00,0,100.0,4.00,0.0,0,0,0,0,0,45,68
